字段,学科（英文）,学科（中文）,所属学科
astro-ph,Astrophysics,天体物理,物理
astro-ph.CO,Cosmology and Nongalactic Astrophysics,宇宙学与非规则天体物理学,物理
astro-ph.EP,Earth and Planetary Astrophysics,地球与行星天体物理学,物理
astro-ph.GA,Astrophysics of Galaxies,星系的天体物理学,物理
astro-ph.HE,High Energy Astrophysical Phenomena,高能天体物理现象,物理
astro-ph.IM,Instrumentation and Methods for Astrophysics,天体物理学的仪器和方法,物理
astro-ph.SR,Solar and Stellar Astrophysics,太阳与恒星天体物理学,物理
cond-mat.dis-nn,Disordered Systems and Neural Networks,无序系统与神经网络,物理
cond-mat.mes-hall,Mesoscale and Nanoscale Physics,中尺度和纳米尺度物理学,物理
cond-mat.mtrl-sci,Materials Science,材料科学,物理
cond-mat.other,Other Condensed Matter,其他凝聚态,物理
cond-mat.quant-gas,Quantum Gases,量子气体,物理
cond-mat.soft,Soft Condensed Matter,软凝聚物,物理
cond-mat.stat-mech,Statistical Mechanics,统计力学,物理
cond-mat.str-el,Strongly Correlated Electrons,强关联电子,物理
cond-mat.supr-con,Superconductivity,超导现象,物理
cs.AI,Artificial Intelligence,人工智能,AI
cs.AR,Hardware Architecture,硬件架构,计算机
cs.CC,Computational Complexity,计算复杂性,计算机
cs.CE,"Computational Engineering, Finance, and Science",计算工程，金融和科学,计算机
cs.CG,Computational Geometry,计算几何,计算机
cs.CL,Computation and Language,计算与语言,AI
cs.CR,Cryptography and Security,密码学与保安,计算机
cs.CV,Computer Vision and Pattern Recognition,计算机视觉与模式识别,AI
cs.CY,Computers and Society,电脑与社会,计算机
cs.DB,Databases,数据库,计算机
cs.DC,"Distributed, Parallel, and Cluster Computing",分布式、并行和集群计算,计算机
cs.DL,Digital Libraries,数字仓库,计算机
cs.DM,Discrete Mathematics,离散数学,计算机
cs.DS,Data Structures and Algorithms,数据结构和算法,计算机
cs.ET,Emerging Technologies,新兴科技,计算机
cs.FL,Formal Languages and Automata Theory,形式语言与自动机理论,计算机
cs.GL,General Literature,一般文学,计算机
cs.GR,Graphics,图形,计算机
cs.GT,Computer Science and Game Theory,计算机科学与博弈论,AI
cs.HC,Human-Computer Interaction,人机交互,AI
cs.IR,Information Retrieval,信息检索,AI
cs.IT,Information Theory,信息理论,AI
cs.LG,Learning,学习,AI
cs.LO,Logic in Computer Science,计算机科学中的逻辑,计算机
cs.MA,Multiagent Systems,多代理系统,计算机
cs.MM,Multimedia,多媒体,计算机
cs.MS,Mathematical Software,数学软件,计算机
cs.NA,Numerical Analysis,数值分析,计算机
cs.NE,Neural and Evolutionary Computing,神经和进化计算,AI
cs.NI,Networking and Internet Architecture,网络与互联网架构,计算机
cs.OH,Other Computer Science,其他计算机科学,计算机
cs.OS,Operating Systems,操作系统,计算机
cs.PF,Performance,性能,计算机
cs.PL,Programming Languages,编程语言,计算机
cs.RO,Robotics,机器人技术,计算机
cs.SC,Symbolic Computation,符号计算,计算机
cs.SD,Sound,声音,计算机
cs.SE,Software Engineering,软件工程,计算机
cs.SI,Social and Information Networks,社会和信息网络,计算机
cs.SY,Systems and Control,系统及控制,计算机
econ.EM,Econometrics,计量经济学,经济
eess.AS,Audio and Speech Processing,音频及语音处理,AI
eess.IV,Image and Video Processing,图像和视频处理,AI
eess.SP,Signal Processing,信号处理,计算机
gr-qc,General Relativity and Quantum Cosmology,广义相对论和量子宇宙学,物理
hep-ex,High Energy Physics - Experiment,高能物理实验,物理
hep-lat,High Energy Physics - Lattice,高能物理-晶格,物理
hep-ph,High Energy Physics - Phenomenology,高能物理-现象学,物理
hep-th,High Energy Physics - Theory,高能物理理论,物理
math.AC,Commutative Algebra,交换代数,数学
math.AG,Algebraic Geometry,代数几何,数学
math.AP,Analysis of PDEs,偏微分方程分析,数学
math.AT,Algebraic Topology,代数拓扑,数学
math.CA,Classical Analysis and ODEs,传统分析和微分方程,数学
math.CO,Combinatorics,组合数学,数学
math.CT,Category Theory,范畴理论,数学
math.CV,Complex Variables,复杂变量,数学
math.DG,Differential Geometry,微分几何,数学
math.DS,Dynamical Systems,动力系统,数学
math.FA,Functional Analysis,功能分析,数学
math.GM,General Mathematics,普通数学,数学
math.GN,General Topology,点集拓扑学,数学
math.GR,Group Theory,群论,数学
math.GT,Geometric Topology,几何拓扑学,数学
math.HO,History and Overview,历史和概述,数学
math.IT,Information Theory,信息理论,AI
math.KT,K-Theory and Homology,K 理论与同调,数学
math.LO,Logic,逻辑,AI
math.MG,Metric Geometry,度量几何学,数学
math.MP,Mathematical Physics,数学物理,数学
math.NA,Numerical Analysis,数值分析,数学
math.NT,Number Theory,数论,数学
math.OA,Operator Algebras,算子代数,数学
math.OC,Optimization and Control,优化和控制,数学
math.PR,Probability,概率,数学
math.QA,Quantum Algebra,量子代数,数学
math.RA,Rings and Algebras,环与代数,数学
math.RT,Representation Theory,表示论,数学
math.SG,Symplectic Geometry,辛几何,数学
