推荐一个「本地」开源平替版Manus：AiPy，不会跑路,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453473639&idx=1&sn=3fe04c31ae7f87ad5d8c2c443ae6c288&chksm=87faca19b08d430f2b31f7c4ff227a5e44968309b1a22e1b1abdd7b995949f8d162b3a55daf9#rd,2025-07-17 15:10:59
Unify：9个月两轮融资估值2.6亿美元，AI 自动化销售赛道跑出新独角兽,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453473576&idx=1&sn=ae50560962082012cb230c9a73bb4e0b&chksm=87faca56b08d434091383d6350ba7a3df0c522e3859043741333167692bf34e8a75021c274b9#rd,2025-07-16 23:38:05
Meta将推出闭源模型，并砸数千亿美元打造超算集群,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453473425&idx=1&sn=d62b6882aaa33bc5349a8eb122576f7b&chksm=87facbefb08d42f9d2e636b5929299a1ca3e772793decfc722ab0f8f7a57eeb3f1765a0c585e#rd,2025-07-15 08:03:43
苹果正在成为下一个诺基亚,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453473385&idx=1&sn=445c40513fe1f5607758a687ef9c4e3c&chksm=87facb17b08d42017e05110fb30b5d89421f2057264165f49eaa041ba17ed0e2df841609a33d#rd,2025-07-14 01:00:41
Windsurf与Google的24亿美元交易细节曝光：创始人带着24亿美元跑路，留下数百员工守着空壳公司,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453473336&idx=1&sn=e17bfc1aa59348177a0e4bc7456c6f5c&chksm=87facb46b08d4250560d6200b34c2e7d48715762d3a93075c0f9695bf76bf42cbedbef78d4e9#rd,2025-07-13 10:18:57
Google DeepMind启动首个人类临床试验，目标：用AI攻克所有疾病,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472851&idx=1&sn=8cabc962f5651264187c0c64c680d5e1&chksm=87fac52db08d4c3b273b65b818aa86eb4e82ee86e2b748285421fbab75123f988c420c66c2c6#rd,2025-07-07 07:17:19
Karpathy揭秘开源成功密码：像细菌一样写代码,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472765&idx=1&sn=358fb86aca273c0a8abf52bbb2e5e91d&chksm=87fac683b08d4f9567bad8d8942c14520ae5420a5f5c9c4865a3b0fe4dc46b01f7389d120dd2#rd,2025-07-06 09:01:18
Grok 4基准测试被爆极其优异，人类终极考试成绩飙升到45%，碾压o3 和Gemini的20%,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472734&idx=1&sn=8b01b4d323a232e4302af22fbd0a25d7&chksm=87fac6a0b08d4fb6cc6b6bbd4682e52a772649371a598010051d6c39f16af781f320e8cc313d#rd,2025-07-05 02:15:41
刚刚，Ilya发布内部信：正式掌舵SSI、团队分道扬镳、拒绝收购，专注打造安全超级智能！,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472682&idx=1&sn=32403710d0ef567ea3d0ee51215d1f4a&chksm=87fac6d4b08d4fc24109b50e91d61a60ae3916f28014de802b22b6e843da781c9a8ee3b623cc#rd,2025-07-04 00:59:58
生物学家称：大脑并非你体内唯一拥有意识的器官,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472656&idx=1&sn=4ca4723d4840fb87cd1a81ad4fb23cc8&chksm=87fac6eeb08d4ff8d5b2ce5130e5991380a2801f4580d277166b4254f65b19baddf37f45ba1b#rd,2025-07-03 20:21:54
EasyDoc：将你的文档变为 AI 友好格式的万能神器,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472271&idx=1&sn=7886ba747f915c6d380fa9b08a5a69e4&chksm=87fac771b08d4e67639cff46854298db7cd6b21bc94eacd6646aa9a032315b2a83a1deea1ad9#rd,2025-06-26 12:02:43
他用AI 复活了中风的祖父，现在拿下红杉1600万美元，让所有人都能「数字永生」,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472155&idx=1&sn=de007571121f6a5ea433b56880dd8a84&chksm=87fac0e5b08d49f3c8abc2233a27c592a7c72085a5120ad7c08261287d253979900784dbf381#rd,2025-06-25 01:38:24
Meta 148亿美元收购的28岁华裔CEO谈管理哲学，其或将成为硅谷的下一个「主角」,http://mp.weixin.qq.com/s?__biz=MzA4NzgzMjA4MQ==&mid=2453472058&idx=1&sn=db0cce8e3dfe363eb1bc7a577ca4ef70&chksm=87fac044b08d4952b804f9ec7a8fdf0b9dfc0f8928a88bd478208dadd908f010921824a5d6ae#rd,2025-06-23 12:00:13
